Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.5,-87.5,0,T
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.4625,-104,0,T
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.5,-104.5,180,T
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119,-92.5,-90,T
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.1375,-62.5,0,T
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130,-79.6375,0,T
C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.1375,-93.5,-90,T
C8,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100.1375,-93.5,90,T
C9,120nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.5,-43.6375,180,T
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.5,-50.275,-90,T
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.5,-98.5,90,T
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.5,-86,0,T
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93,-99.5,-90,T
C14,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.5,-55.5,-90,T
D1,D_Schottky,D_SOD-123,121.5,-74.5,180,T
D3,D_Schottky,D_SOD-123,119.5,-129.5,-90,T
R1,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.6375,-132,0,T
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.6375,-136,180,T
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.1375,-109,90,T
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.6375,-109,90,T
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.5,-55.5,90,T
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.5,-55.5,90,T
U1,STM32F205RBTx,LQFP-64_10x10mm_P0.5mm,110.1875,-95.11,0,T
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,128,-71.6375,-90,T
U3,BNO055,LGA-28_5.2x3.8mm_P0.5mm,111.25,-50.3,0,T
Y1,25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,94.4875,-93.5,-90,T
